Feature
Centroid_H
Centroid_L
Deviation_H
Deviation_L
Entropy_H
Entropy_L
Irregularity_H
Irregularity_L
Kurtosis_Freq_H
Kurtosis_Freq_L
Kurtosis_H
Kurtosis_L
Max_H
Max_L
Mean_Freq_H
Mean_Freq_L
Mean_H
Mean_L
Min_H
Min_L
Peak_H
Peak_L
RMS_H
RMS_L
Skewness_Freq_H
Skewness_Freq_L
Skewness_H
Skewness_L
Spread_H
Spread_L
Std_H
Std_L
Variance_H
Variance_L
